block,feature_set,n_features,feature_cols,zone,C,n,auc,auc_ci_lo,auc_ci_hi,ref_auc,delta_vs_ref,ci_strictly_above_ref,ci_strictly_below_ref,candidate_revision
B_sig,"sig{0.50,1.50,2.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_2.00",pooled,10.0,149,0.7903669724770641,0.7008659874608151,0.8728342181467181,0.8963302752293578,-0.10596330275229371,False,False,False
B_sig,"sig{0.50,1.50,3.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_3.00",pz,0.1,81,0.8333333333333333,0.7372002791447235,0.908498599439776,0.934156378600823,-0.10082304526748975,False,False,False
B_sig,"sig{0.50,1.50,3.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_3.00",pz,1.0,81,0.8305898491083676,0.731822457378013,0.9218406334231806,0.9327846364883402,-0.10219478737997256,False,False,False
B_sig,"sig{0.50,1.50,3.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_3.00",pz,10.0,81,0.8285322359396433,0.7277114156358638,0.9152081592871066,0.9286694101508915,-0.10013717421124824,False,False,False
B_sig,"sig{0.50,1.50,3.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_3.00",tz,0.1,68,0.8251748251748252,0.6708089114832535,0.9570228494623655,0.937062937062937,-0.11188811188811176,False,False,False
B_sig,"sig{0.50,1.50,3.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_3.00",tz,1.0,68,0.8335664335664336,0.6666666666666667,0.9522074152262832,0.9370629370629371,-0.10349650349650352,False,False,False
B_sig,"sig{0.50,1.50,3.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_3.00",tz,10.0,68,0.8237762237762237,0.6494223247512722,0.9496512292738708,0.9272727272727272,-0.10349650349650352,False,False,False
B_sig,"sig{0.50,1.50,3.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_3.00",pooled,0.1,149,0.7944954128440368,0.707473177852821,0.8683782359528358,0.9011467889908257,-0.10665137614678888,False,False,False
B_sig,"sig{0.50,1.50,3.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_3.00",pooled,1.0,149,0.7910550458715596,0.7024859289510196,0.8664281332702385,0.8986238532110091,-0.10756880733944951,False,False,False
B_sig,"sig{0.50,1.50,3.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_3.00",pooled,10.0,149,0.7903669724770642,0.7004294827979038,0.870658508158508,0.8963302752293578,-0.1059633027522936,False,False,False
B_sig,"sig{0.50,1.50,20.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_20.00",pz,0.1,81,0.8374485596707819,0.7363358897618157,0.9164502519629673,0.934156378600823,-0.0967078189300411,False,False,False
B_sig,"sig{0.50,1.50,20.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_20.00",pz,1.0,81,0.8319615912208504,0.7300737872589128,0.9179758132297487,0.9327846364883402,-0.10082304526748975,False,False,False
B_sig,"sig{0.50,1.50,20.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_20.00",pz,10.0,81,0.8285322359396432,0.7285183982683984,0.914266607877719,0.9286694101508915,-0.10013717421124835,False,False,False
