task,method,C,auc,auc_lo,auc_hi,n
GGG,NUTS 5-inner,0.1,0.6222222222222222,0.37894736842105264,0.8474342105263154,29
GGG,MAP 4-poorly-id (CV>0.7),0.1,0.5166666666666667,0.25256578947368424,0.7842131062951496,29
GGG,NUTS 4-poorly-id (CV>0.7),0.1,0.5277777777777778,0.3052208646616542,0.7500811688311684,29
GGG,ADC (LR),1.0,0.7777777777777778,0.5525839054157131,0.9567598684210525,29
GGG,MAP Full LR,1.0,0.7666666666666666,0.5578947368421052,0.9404936974789915,29
GGG,NUTS Full LR,1.0,0.7722222222222223,0.5444202898550724,0.956567028985507,29
GGG,"MAP 2-feat {0.25,3.0}",1.0,0.7388888888888888,0.48947368421052634,0.95,29
GGG,"NUTS 2-feat {0.25,3.0}",1.0,0.7444444444444444,0.48210851648351644,0.9999999999999999,29
GGG,MAP 5-inner,1.0,0.6722222222222222,0.4274133022774327,0.888888888888889,29
GGG,NUTS 5-inner,1.0,0.6722222222222222,0.4155844155844156,0.9020308123249297,29
GGG,MAP 4-poorly-id (CV>0.7),1.0,0.5722222222222223,0.31815996503496496,0.827529761904761,29
GGG,NUTS 4-poorly-id (CV>0.7),1.0,0.6055555555555556,0.37658279220779217,0.8311688311688312,29
GGG,ADC (LR),10.0,0.7722222222222223,0.5403939393939394,0.9567598684210525,29
GGG,MAP Full LR,10.0,0.8777777777777778,0.7277777777777777,0.9842264752791068,29
GGG,NUTS Full LR,10.0,0.7888888888888889,0.5833333333333333,0.9565217391304348,29
GGG,"MAP 2-feat {0.25,3.0}",10.0,0.7166666666666666,0.44155844155844154,0.9705988917306052,29
GGG,"NUTS 2-feat {0.25,3.0}",10.0,0.7666666666666666,0.5,1.0,29
GGG,MAP 5-inner,10.0,0.7222222222222222,0.49401526915113875,0.9130434782608696,29
GGG,NUTS 5-inner,10.0,0.6555555555555556,0.4,0.8889069264069264,29
GGG,MAP 4-poorly-id (CV>0.7),10.0,0.5999999999999999,0.369031954887218,0.8286363636363633,29
GGG,NUTS 4-poorly-id (CV>0.7),10.0,0.6111111111111112,0.3788939740655987,0.8389311594202895,29
