block,feature_set,n_features,feature_cols,zone,n,spearman_rho,spearman_p,rho_ci_lo,rho_ci_hi,adc_rho,abs_rho_gt_abs_adc,abs_rho
A_mu,"mu{0.75,1.00}",2,"nuts_D_0.75,nuts_D_1.00",tz,8,-0.675164347192825,0.06617004538137725,-0.9931270663228413,0.280102564102564,-0.6137857701752955,True,0.675164347192825
A_mu,"mu{0.75,1.00}",2,"nuts_D_0.75,nuts_D_1.00",pooled,29,0.19331303852192508,0.31501758121077805,-0.18689096878016717,0.48790409575685556,-0.5462518568421153,False,0.19331303852192508
A_mu,"mu{0.75,1.50}",2,"nuts_D_0.75,nuts_D_1.50",pz,21,-0.12283439273969492,0.5958028757767941,-0.5490896561726238,0.33486578822182633,-0.4801069979082933,False,0.12283439273969492
A_mu,"mu{0.75,1.50}",2,"nuts_D_0.75,nuts_D_1.50",tz,8,-0.29461716968414187,0.4787261235710182,-0.947330933431342,0.7799476033776028,-0.6137857701752955,False,0.29461716968414187
A_mu,"mu{0.75,1.50}",2,"nuts_D_0.75,nuts_D_1.50",pooled,29,0.21041580064316778,0.27325218913344074,-0.1450645006069507,0.5310180412116192,-0.5462518568421153,False,0.21041580064316778
A_mu,"mu{0.75,2.00}",2,"nuts_D_0.75,nuts_D_2.00",pz,21,0.2948025425752678,0.19453121900914044,-0.1935179090687878,0.7067921356110218,-0.4801069979082933,False,0.2948025425752678
A_mu,"mu{0.75,2.00}",2,"nuts_D_0.75,nuts_D_2.00",tz,8,-0.675164347192825,0.06617004538137725,-0.9878402752745804,0.18946618668626838,-0.6137857701752955,True,0.675164347192825
A_mu,"mu{0.75,2.00}",2,"nuts_D_0.75,nuts_D_2.00",pooled,29,0.3003348681593983,0.11342027898346306,-0.09110064930551845,0.6369574615927115,-0.5462518568421153,False,0.3003348681593983
A_mu,"mu{0.75,3.00}",2,"nuts_D_0.75,nuts_D_3.00",pz,21,-0.3572726051685984,0.11184134157361794,-0.7339778593608824,0.19740651881915616,-0.4801069979082933,False,0.3572726051685984
A_mu,"mu{0.75,3.00}",2,"nuts_D_0.75,nuts_D_3.00",tz,8,-0.8715757936489197,0.004798257341175584,-1.0,-0.3424657534246575,-0.6137857701752955,True,0.8715757936489197
A_mu,"mu{0.75,3.00}",2,"nuts_D_0.75,nuts_D_3.00",pooled,29,0.05001262256666426,0.7966844804257747,-0.3148958471309413,0.4121449095164612,-0.5462518568421153,False,0.05001262256666426
A_mu,"mu{0.75,20.00}",2,"nuts_D_0.75,nuts_D_20.00",pz,21,-0.30322547236313263,0.18148974799638146,-0.7162750300799263,0.3067507657897955,-0.4801069979082933,False,0.30322547236313263
A_mu,"mu{0.75,20.00}",2,"nuts_D_0.75,nuts_D_20.00",tz,8,0.8347486474384018,0.009929687100611161,0.3332760588860237,0.9813067629253164,-0.6137857701752955,True,0.8347486474384018
A_mu,"mu{0.75,20.00}",2,"nuts_D_0.75,nuts_D_20.00",pooled,29,0.26587021115750015,0.16331340325184301,-0.09165034672980288,0.581858325569636,-0.5462518568421153,False,0.26587021115750015
A_mu,"mu{1.00,1.50}",2,"nuts_D_1.00,nuts_D_1.50",pz,21,-0.24005349895414665,0.2945796531137836,-0.6814995148377997,0.2867379943382549,-0.4801069979082933,False,0.24005349895414665
A_mu,"mu{1.00,1.50}",2,"nuts_D_1.00,nuts_D_1.50",tz,8,-0.14730858484207093,0.727766103618572,-0.8306307109923334,0.9813067629253164,-0.6137857701752955,False,0.14730858484207093
A_mu,"mu{1.00,1.50}",2,"nuts_D_1.00,nuts_D_1.50",pooled,29,0.08162681921502199,0.6737975168553362,-0.3175054562482898,0.4665281497300927,-0.5462518568421153,False,0.08162681921502199
A_mu,"mu{1.00,2.00}",2,"nuts_D_1.00,nuts_D_2.00",pz,21,0.22320763937841703,0.3307634415334132,-0.2733005793448308,0.694283151082573,-0.4801069979082933,False,0.22320763937841703
A_mu,"mu{1.00,2.00}",2,"nuts_D_1.00,nuts_D_2.00",tz,8,-0.5401314777542601,0.16698762473215406,-0.9864273156525797,0.4621765772133791,-0.6137857701752955,False,0.5401314777542601
A_mu,"mu{1.00,2.00}",2,"nuts_D_1.00,nuts_D_2.00",pooled,29,0.2648336801198491,0.16502270087887239,-0.13158468730828635,0.6419603223360323,-0.5462518568421153,False,0.2648336801198491
