roi_id,mode,bin,D,R_mean,R_std,R_q05,R_q95,sigma_mean,sigma_std
new61_tz_normal,free,4,1.5,0.16443780956346288,0.10034928029092005,0.016318173407754637,0.3304883190009354,0.0021605524359185574,0.0005836922555290112
new61_tz_normal,free,5,2.0,0.202867497485027,0.12855509430600084,0.015583432272834158,0.4247248726600005,0.0021605524359185574,0.0005836922555290112
new61_tz_normal,free,6,3.0,0.3305457851412571,0.06844835888525659,0.2103564625504222,0.4311982122309021,0.0021605524359185574,0.0005836922555290112
new61_tz_normal,free,7,20.0,0.05553809992328964,0.010883543405859852,0.037667624583568496,0.07316651221391152,0.0021605524359185574,0.0005836922555290112
new61_tz_normal,fixed_formula,0,0.25,0.06663742565011462,0.011748861131012731,0.04378700499307884,0.08265230714139034,0.0016601941503058,0.0
new61_tz_normal,fixed_formula,1,0.5,0.04215384552493689,0.033133124886108554,0.0028395932723488076,0.1090873919994604,0.0016601941503058,0.0
new61_tz_normal,fixed_formula,2,0.75,0.05173845448225857,0.03974102937209144,0.0029489194206196875,0.12896310059781316,0.0016601941503058,0.0
new61_tz_normal,fixed_formula,3,1.0,0.08442816766624016,0.05844338360853762,0.0067852807244170674,0.19633979243442537,0.0016601941503058,0.0
new61_tz_normal,fixed_formula,4,1.5,0.17236598329604924,0.101660112902241,0.020349509509184512,0.3407431720887854,0.0016601941503058,0.0
new61_tz_normal,fixed_formula,5,2.0,0.1958832109674531,0.12437420155798536,0.019320638472281132,0.41637115346662756,0.0016601941503058,0.0
new61_tz_normal,fixed_formula,6,3.0,0.33090735042513086,0.060912163831377285,0.22024245544416443,0.4217779240516941,0.0016601941503058,0.0
new61_tz_normal,fixed_formula,7,20.0,0.05588556198781619,0.008985897399106399,0.041055679052637406,0.0706494854269591,0.0016601941503058,0.0
new61_tz_normal,fixed_residual,0,0.25,0.0506528277159566,0.023580959305171574,0.010383690110866352,0.08828657329562424,0.0104512929251057,0.0
new61_tz_normal,fixed_residual,1,0.5,0.06517898130078258,0.04688049596113554,0.00549004748197658,0.15536168251030955,0.0104512929251057,0.0
